id,status,reported,modified,component,version,platform,importance,flags,cc_list,comments,url,category,reporter,depends,blocks,attempts,loc_per_attempt,reopened
727287,RESOLVED FIXED,2012-02-14 15:52,2012-02-17 05:12,General,unspecified,ARM Gonk (Firefox OS),-- normal,,1,7,https://bugzilla.mozilla.org/show_bug.cgi?id=727287,,Fabrice Desré [:fabrice],0,0,1,29,0
796449,NEW,2012-10-01 21:11,2012-10-15 15:16,Gaia,unspecified,All All,-- normal,blocking-basecamp: -,6,11,https://bugzilla.mozilla.org/show_bug.cgi?id=796449,,GH to BZ,0,0,0,0,0
796462,NEW,2012-10-01 21:19,2012-11-10 09:22,Gaia::System,unspecified,All All,-- normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=796462,,GH to BZ,0,0,0,0,0
796632,NEW,2012-10-01 22:38,2012-11-10 09:16,Gaia::System,unspecified,All All,-- normal,,0,0,https://bugzilla.mozilla.org/show_bug.cgi?id=796632,,GH to BZ,0,0,0,0,0
796794,NEW,2012-10-01 23:31,2012-12-20 10:06,Gaia::System,unspecified,All All,-- normal,,1,2,https://bugzilla.mozilla.org/show_bug.cgi?id=796794,,GH to BZ,0,0,0,0,0
801501,VERIFIED FIXED,2012-10-14 20:14,2012-10-17 14:35,Gaia,unspecified,All All,-- normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=801501,,Tim Guan-tin Chien [:timdream] (MoCo-TPE) (please ni?),0,0,0,0,0
802002,VERIFIED FIXED,2012-10-15 20:40,2012-11-12 13:41,Gaia,unspecified,All Other,-- normal,,4,5,https://bugzilla.mozilla.org/show_bug.cgi?id=802002,,Peter La,0,0,1,3,0
802260,RESOLVED DUPLICATE of,2012-10-16 10:58,2012-10-16 14:18,Gaia,unspecified,All Other,-- normal,,3,2,https://bugzilla.mozilla.org/show_bug.cgi?id=802260,,Eric Pang [:epang],0,0,0,0,0
805443,NEW,2012-10-25 08:15,2012-11-10 10:54,Gaia::System,unspecified,x86 Mac OS X,-- normal,,1,0,https://bugzilla.mozilla.org/show_bug.cgi?id=805443,,Dietrich Ayala (:dietrich),0,0,0,0,0
808828,NEW,2012-11-05 15:55,2012-11-09 09:53,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,1,1,https://bugzilla.mozilla.org/show_bug.cgi?id=808828,,Marcia Knous [:marcia - use needinfo],0,0,0,0,0
810500,NEW,2012-11-09 14:10,2014-05-30 03:58,Gaia::System,unspecified,ARM Gonk (Firefox OS),-- normal,,13,27,https://bugzilla.mozilla.org/show_bug.cgi?id=810500,,John Karahalis [:openjck],0,0,0,0,0
811006,RESOLVED DUPLICATE of,2012-11-12 10:42,2013-01-10 04:54,General,unspecified,ARM Gonk (Firefox OS),-- normal,,4,1,https://bugzilla.mozilla.org/show_bug.cgi?id=811006,,Chris Peterson (:cpeterson),0,0,0,0,0
811862,NEW,2012-11-14 12:53,2013-05-26 14:08,Gaia::System,unspecified,All Other,P3 normal,,3,1,https://bugzilla.mozilla.org/show_bug.cgi?id=811862,,Patryk Adamczyk [:patryk] UX,0,0,0,0,0
814193,NEW,2012-11-21 14:32,2013-02-01 07:28,Gaia,unspecified,ARM Gonk (Firefox OS),P3 normal,blocking-basecamp: -,11,8,https://bugzilla.mozilla.org/show_bug.cgi?id=814193,,Naoki Hirata :nhirata (please use needinfo instead of cc),0,0,0,0,0
814231,VERIFIED FIXED,2012-11-21 16:07,2013-01-13 16:22,Gaia::System,unspecified,ARM Gonk (Firefox OS),P3 normal,blocking-basecamp: +,9,17,https://bugzilla.mozilla.org/show_bug.cgi?id=814231,,Naoki Hirata :nhirata (please use needinfo instead of cc),0,0,0,0,0
816620,RESOLVED DUPLICATE of,2012-11-29 11:08,2012-12-03 02:25,General,unspecified,ARM Gonk (Firefox OS),-- normal,,2,7,https://bugzilla.mozilla.org/show_bug.cgi?id=816620,,Thomas Zimmermann [:tzimmermann] [:tdz],0,0,1,36,0
817791,VERIFIED FIXED,2012-12-03 13:30,2013-01-16 09:59,Gaia::System,unspecified,x86_64 Windows 7,-- normal,,6,7,https://bugzilla.mozilla.org/show_bug.cgi?id=817791,,cbarker,0,0,0,0,0
823785,NEW,2012-12-20 17:03,2013-10-09 14:31,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,,11,12,https://bugzilla.mozilla.org/show_bug.cgi?id=823785,,croesch,0,0,0,0,0
824408,RESOLVED WORKSFORME,2012-12-23 18:14,2013-01-13 22:34,General,unspecified,All All,-- normal,,2,2,https://bugzilla.mozilla.org/show_bug.cgi?id=824408,,Firefox_Mozilla,0,0,0,0,0
824551,VERIFIED FIXED,2012-12-24 17:50,2013-02-15 07:58,Gaia::System,unspecified,All All,-- normal,blocking-b2g: tef+ blocking-basecamp: -,27,49,https://bugzilla.mozilla.org/show_bug.cgi?id=824551,,Firefox_Mozilla,0,0,1,1121,0
825794,RESOLVED WORKSFORME,2013-01-01 16:45,2013-01-14 05:57,Gaia,unspecified,x86 Mac OS X,-- normal,,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=825794,,Tarek Ziadé (:tarek),0,0,0,0,0
825798,RESOLVED FIXED,2013-01-01 17:26,2013-01-03 04:23,Gaia::System,unspecified,ARM Gonk (Firefox OS),P1 normal,blocking-basecamp: +,6,9,https://bugzilla.mozilla.org/show_bug.cgi?id=825798,,Michael Vines [:m1] [:evilmachines],0,1,0,0,0
828731,VERIFIED FIXED,2013-01-09 16:06,2013-02-19 10:09,General,unspecified,x86 Mac OS X,-- critical,blocking-b2g: tef+ blocking-basecamp: -,29,53,https://bugzilla.mozilla.org/show_bug.cgi?id=828731,,[:Cww],1,0,1,64,1
831325,RESOLVED FIXED,2013-01-16 08:28,2013-02-07 05:33,Gaia::Settings,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: -,2,1,https://bugzilla.mozilla.org/show_bug.cgi?id=831325,,Carlos Martínez Toral [:carlosmartinez],0,0,0,0,0
831384,VERIFIED DUPLICATE of,2013-01-16 10:40,2013-02-11 15:28,Gaia::System::Lockscreen,unspecified,ARM Gonk (Firefox OS),-- normal,,2,3,https://bugzilla.mozilla.org/show_bug.cgi?id=831384,,Darren,0,0,0,0,0
844998,NEW,2013-02-25 12:36,2013-02-26 18:35,General,unspecified,ARM Gonk (Firefox OS),-- normal,blocking-b2g: -,11,7,https://bugzilla.mozilla.org/show_bug.cgi?id=844998,,Benoit Jacob [:bjacob],0,0,0,0,0
